player_name,team_name,Role,Attack score,Defense score,price,defensive_rank,offensive_rank
Visvanth V,Gujarat Giants,Left Raider,51,16,20.0,73,53
Shubham Kumar,Gujarat Giants,Left Cover,0,23,10.0,61,138
Shridhar Ananda Kadam,Gujarat Giants,Right Raider,50,9,10.0,92,55
Harish Kamatchi,Gujarat Giants,Left Raider,39,4,10.0,114,69
Aryavardhan Navale,Gujarat Giants,Right Raider,46,9,10.0,93,62
Ankit Jai Bhagwan Dahiya,Gujarat Giants,Right Raider,48,53,20.0,31,59
Rohit Surender Nandal,Gujarat Giants,Left Cover,0,10,10.0,88,151
Nitin Panwar,Gujarat Giants,Right Cover,9,53,30.0,34,111
Lucky Sharma,Gujarat Giants,Right Corner,18,67,30.0,22,87
Himanshu Jaglan,Gujarat Giants,Right Raider,11,38,10.0,44,102
Himanshu Virender Singh,Gujarat Giants,Right Raider,97,9,30.0,91,20
Rakesh Sungroya,Gujarat Giants,Right Raider,118,1,50.0,130,15
Parteek Dahiya,Gujarat Giants,Right Raider,49,2,10.0,126,58
Mohammadreza Shadloui Chiyaneh,Gujarat Giants,Left Corner,57,66,50.0,23,44
Pawan Kumar Sehrawat,Tamil Thalaivas,Right Raider,64,0,20.0,141,35
Suresh Jadhav,Tamil Thalaivas,Right Corner,13,32,20.0,51,96
Arul Nantha Babu Velusamy,Tamil Thalaivas,Right Corner,27,25,20.0,58,81
Yogesh Yadav,Tamil Thalaivas,Right Raider,37,2,10.0,129,72
Rohit Gopal Lal Beniwal,Tamil Thalaivas,Left Raider,55,2,10.0,122,48
Abhiraj Manoj Pawar,Tamil Thalaivas,Right Raider,34,0,10.0,156,75
Sagar Rathee,Tamil Thalaivas,Right Corner,12,28,20.0,56,97
Ronak ,Tamil Thalaivas,Right Cover,24,53,30.0,32,82
Himanshu ,Tamil Thalaivas,Left Corner,38,31,20.0,53,70
Aashish Umed,Tamil Thalaivas,Left Cover,17,48,20.0,38,90
Moein Shafaghi,Tamil Thalaivas,Left Raider,56,0,10.0,147,47
Nitesh Kumar,Tamil Thalaivas,Left Corner,10,118,75.0,3,104
Narender Hoshiyar Kandola,Tamil Thalaivas,Left Raider,62,20,20.0,66,37
Arjun Deshwal,Tamil Thalaivas,Right Raider,157,0,100.0,133,4
Shivam Chaudhary,Up Yoddhas,Left Raider,69,0,20.0,140,32
Guman Singh,Up Yoddhas,Left Raider,101,0,30.0,136,18
Jayesh Vikas Mahajan,Up Yoddhas,Left Corner,12,7,10.0,100,99
Keshav Bal Krishan Kumar,Up Yoddhas,Right Raider,29,5,10.0,110,80
Gagan Raju Gowda,Up Yoddhas,Right Raider,123,4,75.0,112,12
Mahender Singh,Up Yoddhas,Left Cover,10,36,20.0,46,109
Sahul Kumar,Up Yoddhas,Right Corner,0,6,10.0,105,158
Surender Gill,Up Yoddhas,Right Raider,53,2,10.0,124,51
